ID,ITEM,RESTAURANT,CATEGORY,DINING PLAN,LOCATION,DISNEY PARK,DESCRIPTION,PRICE,IS_DDP_SNACK
2681,Lemon Cake,Showcase Plaza Joffrey's Coffee and Tea Company - All-Day,Snacks,Snack,Showcase Plaza,EPCOT,,$5.99,true
2682,"Coco Moco Cocoa Cookie,",Showcase Plaza Joffrey's Coffee and Tea Company - All-Day,Snacks,Snack,Showcase Plaza,EPCOT,,$5.99,true
2683,Peach Iced Tea,Showcase Plaza Joffrey's Coffee and Tea Company - All-Day,Beverages,Snack,Showcase Plaza,EPCOT,,$4.59,true
2684,Frozen Drinks,Showcase Plaza Joffrey's Coffee and Tea Company - All-Day,Beverages,Snack,Showcase Plaza,EPCOT,,$6.09,true
2685,Hot Chocolate,Showcase Plaza Joffrey's Coffee and Tea Company - All-Day,Beverages,Snack,Showcase Plaza,EPCOT,,$4.19,true
2686,smartwater,Showcase Plaza Joffrey's Coffee and Tea Company - All-Day,Beverages,Snack,Showcase Plaza,EPCOT,,$6.00,true
2687,Hot Tea,Showcase Plaza Joffrey's Coffee and Tea Company - All-Day,Beverages,Snack,Showcase Plaza,EPCOT,,$3.69,true
2688,Bottled Beverages,Showcase Plaza Joffrey's Coffee and Tea Company - All-Day,Beverages,Snack,Showcase Plaza,EPCOT,"Coke, diet coke, Sprite",$4.99,true
2689,Powerade,Showcase Plaza Joffrey's Coffee and Tea Company - All-Day,Beverages,Snack,Showcase Plaza,EPCOT,,$4.99,true
2690,Shakin Jamaican Cold Brew,Showcase Plaza Joffrey's Coffee and Tea Company - All-Day,Coffees,Snack,Showcase Plaza,EPCOT,,$4.49,true
2691,Cafe Latte,Showcase Plaza Joffrey's Coffee and Tea Company - All-Day,Coffees,Snack,Showcase Plaza,EPCOT,,$5.99,true
2692,Chai Latte,Showcase Plaza Joffrey's Coffee and Tea Company - All-Day,Coffees,Snack,Showcase Plaza,EPCOT,,$5.39,true
2693,Vanilla Latte,Showcase Plaza Joffrey's Coffee and Tea Company - All-Day,Coffees,Snack,Showcase Plaza,EPCOT,"other available flavors include hazelnut, caramel, mocha or Irish cream",$6.79,true
2694,Double Espresso,Showcase Plaza Joffrey's Coffee and Tea Company - All-Day,Coffees,Snack,Showcase Plaza,EPCOT,,$4.29,true
2695,Organic Café Femenino Coffee,Showcase Plaza Joffrey's Coffee and Tea Company - All-Day,Coffees,Snack,Showcase Plaza,EPCOT,,$3.69,true
2696,Nitro Cold Brew,Showcase Plaza Joffrey's Coffee and Tea Company - All-Day,Coffees,Snack,Showcase Plaza,EPCOT,,$5.99,true
2697,"Salted Caramel Mudslide Cold Brew,",Showcase Plaza Joffrey's Coffee and Tea Company - All-Day,Specialty Beverages (non-alcoholic),,Showcase Plaza,EPCOT,"Joffrey's caramel mudslide cold brew, with notes of caramel, chocolate and vanilla, topped with sea salt caramel cold foam",$6.49,false
2698,Iced Pistachio Latte,Showcase Plaza Joffrey's Coffee and Tea Company - All-Day,Specialty Beverages (non-alcoholic),,Showcase Plaza,EPCOT,"espresso, milk and pistachio syrup, topped with whipped cream",$6.09,false
2699,Seasonal Draft,Swirled Showcase - All Day Updated,Beer & Wine,,Showcase Plaza,EPCOT,,$12.00,false
2700,2026 FESTIVAL OF THE ARTS- Pink Vanilla Soft-serve,Swirled Showcase - All Day Updated,,,Showcase Plaza,EPCOT,in a Cone,,false
2701,2026 FESTIVAL OF THE ARTS- DOLE Whip in a Cone,Swirled Showcase - All Day Updated,,,Showcase Plaza,EPCOT,"(Plant-based), Lemon, Lime, Strawberry
Vegetarian",,false
2702,"2026 FESTIVAL OF THE ARTS- Imagination Cone,",Swirled Showcase - All Day Updated,,,Showcase Plaza,EPCOT,"Pink vanilla soft-serve in a lavender cone, “sparks” of imagination, and white chocolate Figment wings",,false
2703,"2026 FESTIVAL OF THE ARTS- Candy Trio Flight,",Swirled Showcase - All Day Updated,,,Showcase Plaza,EPCOT,"DOLE Whip Strawberry with STARBURST MINIS fruit chews, DOLE Whip Lemon with SKITTLES POP’d Original Freeze Dried Candy, and DOLE Whip Lime with chili-lime seasoning and LIFE SAVERS gummies",,false
2704,2026 FESTIVAL OF THE ARTS- Liquid Nitrogen Minnie Cake Pop,Swirled Showcase - All Day Updated,,,Showcase Plaza,EPCOT,"with cotton candy sponge cake, white chocolate ganache, and colorful chocolate splats (Wonderful Walk of Colorful Cuisine eligible item)",,false
2705,Soft-serve in a Waffle Cone,Swirled Showcase - All Day Updated,Ice Cream,,Showcase Plaza,EPCOT,"Vanilla, Chocolate, Seasonal",$6.50,false
2706,Ice Cream Float,Swirled Showcase - All Day Updated,Ice Cream,,Showcase Plaza,EPCOT,Vanilla Soft-serve and Barq's® Red Creme Soda,$6.75,false
2707,Seasonal Ice Cream Float,Swirled Showcase - All Day Updated,Ice Cream,,Showcase Plaza,EPCOT,,$6.75,false
2708,Bottled Water,Rose and Crown Beer Garden - All-Day,Beverages,Snack,United Kingdom Pavilion,EPCOT,,$4.25,true
2709,Harp Lager Draft,Rose and Crown Beer Garden - All-Day,Beer,,United Kingdom Pavilion,EPCOT,,$12.00,false
2710,BrewDog Punk IPA,Rose and Crown Beer Garden - All-Day,Beer,,United Kingdom Pavilion,EPCOT,,$12.00,false
2711,Seasonal Hard Cider,Rose and Crown Beer Garden - All-Day,Cider,,United Kingdom Pavilion,EPCOT,,$12.75,false
2712,Fruit Salad,Rose and Crown Dining Room - Children's Lunch/Dinner,Dessert,,United Kingdom Pavilion,EPCOT,,,false
2713,Plant-based Seasonal Gelato,Rose and Crown Dining Room - Children's Lunch/Dinner,Dessert,,United Kingdom Pavilion,EPCOT,with Seasonal Accompaniment,,false
2714,House Salad,Rose and Crown Dining Room - Children's Lunch/Dinner,Appetizers/Starters,,United Kingdom Pavilion,EPCOT,with Fat-free Ranch Dressing,,false
2715,Fish and Chips,Rose and Crown Dining Room - Children's Lunch/Dinner,For Children Ages 3-9,,United Kingdom Pavilion,EPCOT,,$15.50,false
2716,Grilled Chicken,Rose and Crown Dining Room - Children's Lunch/Dinner,Mickey Check Meals,,United Kingdom Pavilion,EPCOT,served with brown rice and roasted carrots,$15.50,false
2717,Small Lowfat Milk,Rose and Crown Dining Room - Children's Lunch/Dinner,Beverages,,United Kingdom Pavilion,EPCOT,,,false
2718,Small Water,Rose and Crown Dining Room - Children's Lunch/Dinner,Beverages,,United Kingdom Pavilion,EPCOT,,,false
2719,Small Apple Juice,Rose and Crown Dining Room - Children's Lunch/Dinner,Beverages,,United Kingdom Pavilion,EPCOT,,,false
2720,Specialty Character Drink,Rose and Crown Dining Room - Children's Lunch/Dinner,Specialty Beverages (non-alcoholic),,United Kingdom Pavilion,EPCOT,Minute Maid® Zero Sugar Lemonade with flavors of Cotton Candy served in a souvenir Character Cup,$7.00,false
2721,"Sticky Toffee Pudding ,",Rose and Crown Dining Room - Lunch/Dinner,Dessert,,United Kingdom Pavilion,EPCOT,steamed pudding 'cake' served with warm vanilla custard and hot butter-rum sauce,$10,false
2722,Plant-based Seasonal Gelato,Rose and Crown Dining Room - Lunch/Dinner,Dessert,,United Kingdom Pavilion,EPCOT,with Seasonal Accompaniments,$8.25,false
2723,Iced Tea,Rose and Crown Dining Room - Lunch/Dinner,Beverages,,United Kingdom Pavilion,EPCOT,,$4.99,false
2724,Fountain Drinks,Rose and Crown Dining Room - Lunch/Dinner,Beverages,,United Kingdom Pavilion,EPCOT,"Coke, diet Coke, Sprite, Orange, Zero Sugar Lemonade, Iced Tea, Coffee",$4.99,false
2725,Coffee,Rose and Crown Dining Room - Lunch/Dinner,Beverages,,United Kingdom Pavilion,EPCOT,freshly brewed Joffrey's,$4.49,false
2726,Hot Tea,Rose and Crown Dining Room - Lunch/Dinner,Beverages,,United Kingdom Pavilion,EPCOT,,$4.49,false
2727,"Scotch Egg,",Rose and Crown Dining Room - Lunch/Dinner,Appetizers/Starters,,United Kingdom Pavilion,EPCOT,Golden-fried Hard-boiled Egg wrapped in Sausage with Mustard Sauce,$16,false
2728,"Bangers and Mash,",Rose and Crown Dining Room - Lunch/Dinner,Entrees,,United Kingdom Pavilion,EPCOT,"traditional English sausages, with Colacannon potatoes, roasted mushrooms, onion and red wine Demi",$29,false
2729,"Fish & Chips,",Rose and Crown Dining Room - Lunch/Dinner,Entrees,,United Kingdom Pavilion,EPCOT,Beer battered fresh fish served with tartar sauce,$32,false
2730,"Shepherd's Pie,",Rose and Crown Dining Room - Lunch/Dinner,Entrees,,United Kingdom Pavilion,EPCOT,"ground beef, seasonal vegetables, English peas, mashed potatoes and Irish cheddar",$30,false
2731,Tikka Masala,Rose and Crown Dining Room - Lunch/Dinner,Entrees,,United Kingdom Pavilion,EPCOT,A blend of Seasonal Vegetables in a Curry Sauce served with Basmati Rice and Naan (Plant-based),$25.00,false
2732,"Coronation Salad,",Rose and Crown Dining Room - Lunch/Dinner,Plant-based,,United Kingdom Pavilion,EPCOT,crisp salad with Madras yogurt dressing on top of a Crunchy Grain Cracker,$13,false
2733,Welsh Dragon,Rose and Crown Dining Room - Lunch/Dinner,Specialty Cocktails,,United Kingdom Pavilion,EPCOT,"Peach Schnapps Liqueur, Melon Liqueur, Crème de Menthe Liqueur, Orange Juice, and Pineapple Juice",$14.50,false
2734,Leaping Leprechaun,Rose and Crown Dining Room - Lunch/Dinner,Specialty Cocktails,,United Kingdom Pavilion,EPCOT,"Jameson Irish Whiskey, Don Q Cristal Rum, SVEDKA Vodka, Melon Liqueur, and Sweet-and-Sour topped with Sprite®",$16.50,false
2735,"Cider and Fireball,",Rose and Crown Dining Room - Lunch/Dinner,Specialty Cocktails,,United Kingdom Pavilion,EPCOT,"Tullamore Dew Irish Whiskey, Fireball Cinnamon Whisky, and Strongbow Cider topped with Ginger Ale",$16.50,false
2736,Pimm's Cup,Rose and Crown Dining Room - Lunch/Dinner,Specialty Cocktails,,United Kingdom Pavilion,EPCOT,Pimm's No.1 and Sprite,$15.50,false
2737,Indigo Hibiscus,Rose and Crown Dining Room - Lunch/Dinner,Specialty Cocktails,,United Kingdom Pavilion,EPCOT,"Empress 1908 Gin, Bols Blue Curacao Liqueur, Minute Maid® Premium Lemonade, Orgeat (Almond), Lemon, and Hibiscus Grenadine",$17.50,false
2738,English Rose,Rose and Crown Dining Room - Lunch/Dinner,Specialty Cocktails,,United Kingdom Pavilion,EPCOT,"New Amsterdam Gin, Bols Apricot Brandy Minute Maid® Orange Juice, Cranberry Juice, and DOLE® Pineapple Juice",$15.50,false
2739,Imperial Sampler,Rose and Crown Dining Room - Lunch/Dinner,Beer,,United Kingdom Pavilion,EPCOT,"Bombardier Amber, Harp Lager, Old Speckled Hen English Pale Ale, Strongbow Cider, or Guinness Stout; $15.50 Served in a souvenir Stein",$16.25,false
2740,Imperial Pint,Rose and Crown Dining Room - Lunch/Dinner,Beer,,United Kingdom Pavilion,EPCOT,"Sullivan's Amber, Smithwick's Ale, Harp Lager, Old Speckled Hen English Pale Ale, Strongbow Hard Cider, or Guinness Stout",$12.00,false
2741,Wines,Rose and Crown Dining Room - Lunch/Dinner,Wine,,United Kingdom Pavilion,EPCOT,by the bottle $52 - $79; by the glass,$12 - $20,false
2742,Red Sangria,Rose and Crown Dining Room - Lunch/Dinner,Wine,,United Kingdom Pavilion,EPCOT,Opici,$14,false
2743,Scotch Whisky,Rose and Crown Dining Room - Lunch/Dinner,Spirits,,United Kingdom Pavilion,EPCOT,The Macallan 12 yr; 2 oz. pour,$21.25,false
2744,Scotch Whisky,Rose and Crown Dining Room - Lunch/Dinner,Spirits,,United Kingdom Pavilion,EPCOT,The Macallan 18 yr; 2 oz. pour,$45.50,false
2745,Scotch Whisky,Rose and Crown Dining Room - Lunch/Dinner,Spirits,,United Kingdom Pavilion,EPCOT,Johnnie Walker Blue; 2 oz pour,$45.50,false
2746,Scotch Whisky,Rose and Crown Dining Room - Lunch/Dinner,Spirits,,United Kingdom Pavilion,EPCOT,Lagavulin 16 yr; 2 oz. pour,$26.00,false
2747,Scotch Whisky,Rose and Crown Dining Room - Lunch/Dinner,Spirits,,United Kingdom Pavilion,EPCOT,Glenkinchie 12 yr; 2 oz. pour,$20.25,false
2748,Scotch Whisky,Rose and Crown Dining Room - Lunch/Dinner,Spirits,,United Kingdom Pavilion,EPCOT,Oban 14 yr,$27,false
2749,Cockburn Tawny - 20 yr,Rose and Crown Dining Room - Lunch/Dinner,Spirits,,United Kingdom Pavilion,EPCOT,,$13,false
2750,Ferreira Tawny - 10 yr,Rose and Crown Dining Room - Lunch/Dinner,Spirits,,United Kingdom Pavilion,EPCOT,,$11,false
2751,Cognac,Rose and Crown Dining Room - Lunch/Dinner,Spirits,,United Kingdom Pavilion,EPCOT,2 oz. Courvoisier VS,$12.75,false
2752,Irish Whiskey Flight,Rose and Crown Dining Room - Lunch/Dinner,Spirits,,United Kingdom Pavilion,EPCOT,"Tullamore Dew, Jameson, Bushmills",$21.00,false
2753,Courvoisier VS,Rose and Crown Dining Room - Lunch/Dinner,Spirits,,United Kingdom Pavilion,EPCOT,2oz Pour,$16.50,false
2754,Single Malt Flight,Rose and Crown Dining Room - Lunch/Dinner,Spirits,,United Kingdom Pavilion,EPCOT,"Glenkinchie, Oban, Lagavulin",$24.50,false
2755,Johnnie Walker Flight,Rose and Crown Dining Room - Lunch/Dinner,Spirits,,United Kingdom Pavilion,EPCOT,"Black, Gold, 18 yr",$23.00,false
2756,The Macallan Flight,Rose and Crown Dining Room - Lunch/Dinner,Spirits,,United Kingdom Pavilion,EPCOT,"12yr, 15 yr, and 18 yr",$30.00,false
2757,"Coca-Cola, Diet Coke, Sprite",Rose and Crown Pub - All-Day,Beverages,,United Kingdom Pavilion,EPCOT,,$4.99,false
2758,Freshly Brewed Joffrey's Coffee,Rose and Crown Pub - All-Day,Beverages,,United Kingdom Pavilion,EPCOT,,$4.49,false
2759,Leaping Leprechaun,Rose and Crown Pub - All-Day,Specialty Cocktails,,United Kingdom Pavilion,EPCOT,"Jameson Irish Whiskey, Don Q Cristal rum, Svedka vodka, Melon Liquer, and Sweet and Sour topped with Sprite",$16.50,false
2760,Welsh Dragon,Rose and Crown Pub - All-Day,Specialty Cocktails,,United Kingdom Pavilion,EPCOT,"Peach Schnapps, Melon Liqueur, Creme de Menthe, Orange Juice, Pineapple Juice",$14.50,false
2761,Pimm's Cup,Rose and Crown Pub - All-Day,Specialty Cocktails,,United Kingdom Pavilion,EPCOT,Pimm's No. 1 and Sprite,$15.50,false
2762,Indigo Hibiscus,Rose and Crown Pub - All-Day,Specialty Cocktails,,United Kingdom Pavilion,EPCOT,"Empress 1908 Gin, Bols Blue Curaçao Liqueur, Minute Maid® Premium Lemonade, Orgeat (Almond), Lemon, and Hibiscus Grenadine",$17.50,false
2763,Cider and Fireball,Rose and Crown Pub - All-Day,Specialty Cocktails,,United Kingdom Pavilion,EPCOT,"Tullamore Dew Irish Whiskey, Fireball Cinnamon Whisky, and Strongbow Cider topped with Ginger Ale",$16.50,false
2764,English Rose,Rose and Crown Pub - All-Day,Specialty Cocktails,,United Kingdom Pavilion,EPCOT,"New Amsterdam Gin, Bols Apricot Brandy Minute Maid® Orange Juice, Cranberry Juice, and DOLE® Pineapple Juice",$15.50,false
2765,Imperial Sampler,Rose and Crown Pub - All-Day,Beer,,United Kingdom Pavilion,EPCOT,"Bombardier Amber, Harp Lager, Boddingtons English Pub Ale, and Guinness Stout",$14.75,false
2766,Bass Ale,Rose and Crown Pub - All-Day,Beer,,United Kingdom Pavilion,EPCOT,easy-going with a caramel aroma and a lovely malt finish,$9.25,false
2767,Boddingtons English Pub Ale,Rose and Crown Pub - All-Day,Beer,,United Kingdom Pavilion,EPCOT,"a cream ale with a distinct, bitter aftertaste",$10.00,false
2768,Guinness Stout,Rose and Crown Pub - All-Day,Beer,,United Kingdom Pavilion,EPCOT,"deep, rich-flavored stout with a creamy top",$9.25,false
2769,Harp Lager,Rose and Crown Pub - All-Day,Beer,,United Kingdom Pavilion,EPCOT,pale-to-golden colored beer with a noble hop bitterness,$9.25,false
2770,Smithwick's,Rose and Crown Pub - All-Day,Beer,,United Kingdom Pavilion,EPCOT,"Irish ale with a clear, ruby-hue and creamy top",$9.25,false
2771,"Golden Imperial Pub Blend,",Rose and Crown Pub - All-Day,Beer,,United Kingdom Pavilion,EPCOT,Half Harp Lager and Half Bombardier Amber,$11.25,false
2772,Half & Half Pub Blend,Rose and Crown Pub - All-Day,Beer,,United Kingdom Pavilion,EPCOT,half Harp and half Guinness,$12.00,false
2773,Shandy Pub Blend,Rose and Crown Pub - All-Day,Beer,,United Kingdom Pavilion,EPCOT,half Sprite and half Harp Lager,$12.00,false
2774,Strongbow Cider,Rose and Crown Pub - All-Day,Beer,,United Kingdom Pavilion,EPCOT,"a refreshingly dry, hard apple cider",$9.25,false
2775,Golden Fox Imperial Pint,Rose and Crown Pub - All-Day,Beer,,United Kingdom Pavilion,EPCOT,Half Old Speckled Hen English Pub Ale and Half Bombardier Amber; $16.25 Served in a souvenir Stein,$11.25,false
2776,Bumblebee Imperial Pint,Rose and Crown Pub - All-Day,Beer,,United Kingdom Pavilion,EPCOT,Half Boddingtons English Pub Ale and Half Guinness Stout,$10.50,false
2777,"Snake Bite Blend,",Rose and Crown Pub - All-Day,Beer,,United Kingdom Pavilion,EPCOT,Half cider and half harp,$12.00,false
2778,Cider & Blackcurrant Imperial Pint,Rose and Crown Pub - All-Day,Beer,,United Kingdom Pavilion,EPCOT,cider with a shot of blackcurrant juice,$11.25,false
2779,Black Velvet Pub Blend,Rose and Crown Pub - All-Day,Beer,,United Kingdom Pavilion,EPCOT,Half Cider and Half Guiness; $15.50 in souvenir stein,$11.25,false
2780,Imperial Pint,Rose and Crown Pub - All-Day,Beer,,United Kingdom Pavilion,EPCOT,"Bombardier Amber, Smithwick's Ale, Harp Lager, Old Speckled Hen English Pale Ale, Strongbow Hard Cider, or Guinness Stout",$11.25,false
2781,Bombardier & Guinness Imperial Pint,Rose and Crown Pub - All-Day,Beer,,United Kingdom Pavilion,EPCOT,Half Bombardier Amber and Half Guinness Stout,$11.25,false
2782,Irish Hen Imperial Pint,Rose and Crown Pub - All-Day,Beer,,United Kingdom Pavilion,EPCOT,Half Old Speckled Hen English Pale Ale and Half Guinness Stout; $16.25 served in a souvenir stein,$11.25,false
2783,Blacksmith Imperial Pint,Rose and Crown Pub - All-Day,Beer,,United Kingdom Pavilion,EPCOT,Half Smithwick's and Half Guinness Stout,$11.25,false
2784,Wines by the Glass,Rose and Crown Pub - All-Day,Wine,,United Kingdom Pavilion,EPCOT,,$8 - $13,false
2785,Wines by the Bottle,Rose and Crown Pub - All-Day,Wine,,United Kingdom Pavilion,EPCOT,,$35 - $55,false
2786,Opici Family Sangria,Rose and Crown Pub - All-Day,Wine,,United Kingdom Pavilion,EPCOT,"red sangria made in La Mancha, Spain from Tempranillo grapes and has flavors raspberry, apple and blackberry with succulent aromas of natural Valencia oranges and cinnamon",$13,false
2787,Ferreira Tawny 10 yr. Port,Rose and Crown Pub - All-Day,Wine,,United Kingdom Pavilion,EPCOT,,$13.00,false
2788,The Macallan 12 yr. Scotch Whisky,Rose and Crown Pub - All-Day,Spirits,,United Kingdom Pavilion,EPCOT,2 oz. pour,$21.25,false
2789,The Macallan 18 yr. Scotch Whisky,Rose and Crown Pub - All-Day,Spirits,,United Kingdom Pavilion,EPCOT,2 oz. pour,$45.50,false
2790,Lagavulin 16 yr. Scotch Whisky,Rose and Crown Pub - All-Day,Spirits,,United Kingdom Pavilion,EPCOT,2 oz. pour,$26.00,false
2791,Glenkinchie 12 yr. Scotch Whisky,Rose and Crown Pub - All-Day,Spirits,,United Kingdom Pavilion,EPCOT,2 oz. pour,$20.25,false
2792,Oban 14 yr. Scotch Whisky,Rose and Crown Pub - All-Day,Spirits,,United Kingdom Pavilion,EPCOT,2 oz. pour,$27.00,false
2793,Johnnie Walker Blue Scotch Whisky,Rose and Crown Pub - All-Day,Spirits,,United Kingdom Pavilion,EPCOT,2 oz. pour,$45.50,false
2794,Courvoisier VS Cognac,Rose and Crown Pub - All-Day,Spirits,,United Kingdom Pavilion,EPCOT,2 oz. pour,$16.50,false
2795,Irish Whiskey Flight,Rose and Crown Pub - All-Day,Spirits,,United Kingdom Pavilion,EPCOT,"Tullamore Dew, Jameson, and Bushmills, 16 yr",$21.00,false
2796,Single Malt Flight,Rose and Crown Pub - All-Day,Spirits,,United Kingdom Pavilion,EPCOT,"Glenkinchie, Oban, Lagavulin",$24.50,false
2797,Johnnie Walker Flight,Rose and Crown Pub - All-Day,Spirits,,United Kingdom Pavilion,EPCOT,"Black, Gold, 18 yr",$23.00,false
2798,The Macallan Flight,Rose and Crown Pub - All-Day,Spirits,,United Kingdom Pavilion,EPCOT,"12yr, 15 yr, and 18 yr",$30.00,false
2799,"Beer-battered Fish and Chips,",Yorkshire County Fish Shop - Lunch/Dinner,Other,,United Kingdom Pavilion,EPCOT,,$14.49,false
2800,Cuties Mandarins,Yorkshire County Fish Shop - Lunch/Dinner,Other,,United Kingdom Pavilion,EPCOT,,$4.19,false
2801,Chips,Yorkshire County Fish Shop - Lunch/Dinner,Other,Snack,United Kingdom Pavilion,EPCOT,,$5.49,true
2802,Fountain Beverages,Yorkshire County Fish Shop - Lunch/Dinner,Beverages,Snack,United Kingdom Pavilion,EPCOT,"Coke, Diet Coke, Sprite, Orange, Light Pomegranate Lemonade, Iced Tea",$4.79,true
2803,Coffee,Yorkshire County Fish Shop - Lunch/Dinner,Beverages,Snack,United Kingdom Pavilion,EPCOT,,$4.79,true
2804,Bottled Water,Yorkshire County Fish Shop - Lunch/Dinner,Beverages,Snack,United Kingdom Pavilion,EPCOT,,$4.25,true
2805,Twinings English Breakfast Tea,Yorkshire County Fish Shop - Lunch/Dinner,Beverages,Snack,United Kingdom Pavilion,EPCOT,,$4.79,true
2806,Harp Lager Draft,Yorkshire County Fish Shop - Lunch/Dinner,Beer,,United Kingdom Pavilion,EPCOT,,$12.00,false
2807,Bombardier Amber,Yorkshire County Fish Shop - Lunch/Dinner,Beer,,United Kingdom Pavilion,EPCOT,"United Kingdom 20-oz Draft - A fruity aroma and rich malty taste provide a crisp, mouth-watering beer",$12.00,false
2808,2026 FESTIVAL OF THE ARTS- Soft Shell Crab Slider,CommuniCore Hall - All-Day,,,World Celebration,EPCOT,Green papaya slaw and mango ketchup on a sweet roll,$7.49,false
2809,2026 FESTIVAL OF THE ARTS- Enchanted Rose,CommuniCore Hall - All-Day,,,World Celebration,EPCOT,(Wonderful Walk of Colorful Cuisine eligible item): Dark chocolate mousse rose,$6.49,false
2810,2026 FESTIVAL OF THE ARTS- Fantasia Fusion IPA,CommuniCore Hall - All-Day,,,World Celebration,EPCOT,Crooked Can Brewing Company,$6oz $6.00 / 12 oz $9.75,false
2811,2026 FESTIVAL OF THE ARTS- Bohemian Pilsner,CommuniCore Hall - All-Day,,,World Celebration,EPCOT,von Trapp Brewing,$6oz $6.00 / 12 oz $9.75,false
2812,2026 FESTIVAL OF THE ARTS- Caramel Cookie Bar Imperial Stout,CommuniCore Hall - All-Day,,,World Celebration,EPCOT,Southern Tier Brewing Co.,$6oz $6.00 / 12 oz $9.75,false
2813,2026 FESTIVAL OF THE ARTS- Beer Flight,CommuniCore Hall - All-Day,,,World Celebration,EPCOT,,$12.75,false
2814,2026 FESTIVAL OF THE ARTS- Brut Réserve Champagne,CommuniCore Hall - All-Day,,,World Celebration,EPCOT,Charles Heidsieck,$12.00,false
2815,"Sausage, Cheddar, and Egg Sandwich",Connections Cafe  - All-Day,Breakfast Sandwiches,,World Celebration,EPCOT,,$5.59,false
2816,"Bacon, Gouda, and Egg Sandwich",Connections Cafe  - All-Day,Breakfast Sandwiches,,World Celebration,EPCOT,,$5.99,false
2817,"Double-smoked Bacon, Cheddar and Egg Sandwich",Connections Cafe  - All-Day,Breakfast Sandwiches,,World Celebration,EPCOT,,$6.59,false
2818,Ham and Swiss Croissant,Connections Cafe  - All-Day,Breakfast Sandwiches,,World Celebration,EPCOT,,$5.29,false
2819,"Liege Waffle,",Connections Cafe  - All-Day,Bakery,Snack,World Celebration,EPCOT,,$4.49,true
2820,Chocolate Chip Cookie,Connections Cafe  - All-Day,Bakery,Snack,World Celebration,EPCOT,,$4.29,true
2821,Sugar Cookie,Connections Cafe  - All-Day,Bakery,Snack,World Celebration,EPCOT,,$3.99,true
2822,Brownie,Connections Cafe  - All-Day,Bakery,Snack,World Celebration,EPCOT,,,true
2823,Pumpkin and Pepita Loaf,Connections Cafe  - All-Day,Bakery,Snack,World Celebration,EPCOT,,$3.79,true
2824,Iced Lemon Loaf,Connections Cafe  - All-Day,Bakery,Snack,World Celebration,EPCOT,,$3.79,true
2825,Petite Vanilla Bean Scones,Connections Cafe  - All-Day,Bakery,Snack,World Celebration,EPCOT,$3.99 for three; each,$1.79,true
2826,Banana Walnut and Pecan Loaf,Connections Cafe  - All-Day,Bakery,Snack,World Celebration,EPCOT,,$3.79,true
2827,Cinnamon Roll,Connections Cafe  - All-Day,Bakery,Snack,World Celebration,EPCOT,,$4.49,true
2828,Cheese Danish,Connections Cafe  - All-Day,Bakery,Snack,World Celebration,EPCOT,,$4.59,true
2829,Blueberry Muffin,Connections Cafe  - All-Day,Bakery,Snack,World Celebration,EPCOT,,$3.79,true
2830,Cinnamon Coffee Cake,Connections Cafe  - All-Day,Bakery,Snack,World Celebration,EPCOT,,$4.29,true
2831,Butter Croissant,Connections Cafe  - All-Day,Bakery,Snack,World Celebration,EPCOT,,$3.79,true
2832,Chocolate Croissant,Connections Cafe  - All-Day,Bakery,Snack,World Celebration,EPCOT,,$4.29,true
2833,Cake Pop,Connections Cafe  - All-Day,Bakery,Snack,World Celebration,EPCOT,$5.99 for three; each,$2.49,true
2834,"Lime-frosted Coconut Bar,",Connections Cafe  - All-Day,Bakery,Snack,World Celebration,EPCOT,,$3.49,true
2835,"Blondie,",Connections Cafe  - All-Day,Bakery,,World Celebration,EPCOT,,$4.99,false
2836,"Croissant Doughnut,",Connections Cafe  - All-Day,Bakery,,World Celebration,EPCOT,,,false
2837,Teavana Shaken Iced Tea,Connections Cafe  - All-Day,Beverages,Snack,World Celebration,EPCOT,"black, green, passion tango or white",$4.85,true
2838,Teavana Shaken Iced Tea Lemonade,Connections Cafe  - All-Day,Beverages,Snack,World Celebration,EPCOT,"black, green, passion tango or white",$5.85,true
2839,Frappuccino Blended Beverages,Connections Cafe  - All-Day,Beverages,Snack,World Celebration,EPCOT,"Caramel Ribbon Crunch, Caramel, Mocha, Coffee",$6.75-6.95,true
2840,Frappuccino Blended Creme Beverages,Connections Cafe  - All-Day,Beverages,Snack,World Celebration,EPCOT,"Double Chocolaty Chip Creme, Strawberry Creme, Vanilla Bean Creme",$6.45-6.95,true
2841,Pink Drink,Connections Cafe  - All-Day,Beverages,Snack,World Celebration,EPCOT,,$5.95,true
2842,Chai Tea Latte,Connections Cafe  - All-Day,Beverages,Snack,World Celebration,EPCOT,,$5.95,true
2843,Iced Matcha Green Tea Latte,Connections Cafe  - All-Day,Beverages,Snack,World Celebration,EPCOT,,$5.95,true
2844,Shaken Iced Tea Lemonade,Connections Cafe  - All-Day,Beverages,Snack,World Celebration,EPCOT,"black, green or passion tango",$5.85,true
2845,Shaken Iced Tea,Connections Cafe  - All-Day,Beverages,Snack,World Celebration,EPCOT,"black, green or passion tango",$3.29,true
2846,Lemonade,Connections Cafe  - All-Day,Beverages,Snack,World Celebration,EPCOT,,$4.79,true
2847,Starbucks Refreshers with Lemonade,Connections Cafe  - All-Day,Beverages,Snack,World Celebration,EPCOT,strawberry acai or mango dragonfruit,$5.99,true
2848,Starbucks Refreshers,Connections Cafe  - All-Day,Beverages,Snack,World Celebration,EPCOT,strawberry acai or mango dragonfruit,$5.45,true
